Difficulty/Dice,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
1,1.1,0.99,1.001,0.9999,1.00001,0.999999,1.0000001,0.9999999900000001,1.000000001,0.9999999999,1.00000000001,0.9999999999990001,1.0000000000001,0.99999999999999,1.0000000000000009,1,0.9999999999999998,1.0000000000000002,1,1.0000000000000002
2,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3,0,0.64,0.921,0.9861,0.9978400000000001,0.99969,0.9999579,0.9999945100000001,0.9999993060000001,0.9999999143999999,0.9999999896500001,0.999999998769,0.9999999998556,0.9999999999832601,0.999999999998079,0.9999999999997814,0.9999999999999755,0.999999999999997,0.9999999999999998,0.9999999999999998
4,0,0.49,0.784,0.9191999999999999,0.97248,0.9912799999999999,0.9973888,0.99925248,0.999793664,0.9999447296000001,0.9999855616,0.9999963074559998,0.9999990726656,0.99999977074688,0.999999944097792,0.9999999865323521,0.9999999967900469,0.9999999992422072,0.9999999998226334,0.9999999999588065
5,0,0,0.324,0.6264000000000001,0.8160699999999999,0.915895,0.9634554999999999,0.9847047699999999,0.9937801719999998,0.9975282525999999,0.9990361890999998,0.9996301564299997,0.9998600282820997,0.9999476642808103,0.9999806411986928,0.9999929081855756,0.9999974246900578,0.999999072257069,0.9999996682303119,0.9999998821570183
6,0,0,0,0.1275,0.3325,0.538656,0.7046304,0.82163456,0.8970992640000001,0.9427608575999997,0.9690910924800001,0.983714107392,0.9915940773887997,0.9957367206707198,0.9978701303316481,0.9989497932546052,0.9994880653996853,0.9997529663660362,0.9998818624148078,0.9999439568185909
7,0,0,0,0.0256,0.09504000000000001,0.20472,0.3373725,0.47363624999999987,0.5988837499999999,0.7050650000000002,0.7897090625000001,0.8539920312500002,0.9009362499999998,0.934127890625,0.9569676464843749,0.9723252294921877,0.9824482958984371,0.9890064111328122,0.9931908764648439,0.9958251086425781
8,0,0,0,0.0081,0.030780000000000002,0.071145,0.1289844,0.20147056000000002,0.28415699199999994,0.37200531519999996,0.46022896000000013,0.5448486983679999,0.6229556572671998,0.6927398333516799,0.7533647767336961,0.804764472905728,0.8474205415437109,0.8821569887665689,0.9099716226378571,0.9319100517487972
9,0,0,0,0,0.0011200000000000001,0.005200000000000001,0.014172400000000002,0.02959984,0.05243702700000001,0.08297148269999997,0.12088055564999997,0.1653515370510001,0.2152264682570999,0.2691463611139299,0.3256796521331349,0.38342702630202874,0.4410998490431967,0.4975728510043544,0.5519138221231836,0.6033942039589489
10,0,0,0,0,0,0.000022,0.00012959999999999998,0.00043767,0.0011119180000000002,0.0023608224,0.00442287232,0.0075516764159999986,0.012000875315200003,0.018010186874879996,0.02579341551206398,0.03552887838474241,0.047352425402859534,0.06135303403234917,0.0775708234553492,0.09599724066861745
11,0,0,0,0,0,0,0,0,0,0,0.00000000001,0.000000000109,0.0000000006436,0.00000000272854,0.000000009296101,0.0000000270285157,0.00000006958631098,0.000000162605492092,0.0000003509693338438,0.00000070886063317222
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
